"","Site","Well","Signal","Value","Experiment","Leaf"
"70","1;2","B6","mTurquoise",41,"AT5G06140","Set1_Leaf_B"
"71","1;2","B6","mScarlet",321,"AT5G06140","Set1_Leaf_B"
"72","1;2","B6","YB_Ratio",48.6341463414634,"AT5G06140","Set1_Leaf_B"
"73","1;2","B7","yfp",1940,"Null_YFP","Set1_Leaf_B"
"74","1;2","B7","mTurquoise",54,"Null_YFP","Set1_Leaf_B"
"75","1;2","B7","mScarlet",312,"Null_YFP","Set1_Leaf_B"
"76","1;2","B7","YB_Ratio",35.9259259259259,"Null_YFP","Set1_Leaf_B"
"77","1;2","B8","yfp",1812,"Null_YFP","Set1_Leaf_B"
"78","1;2","B8","mTurquoise",96,"Null_YFP","Set1_Leaf_B"
"79","1;2","B8","mScarlet",293,"Null_YFP","Set1_Leaf_B"
"80","1;2","B8","YB_Ratio",18.875,"Null_YFP","Set1_Leaf_B"
"81","1;2","B9","yfp",2292,"AT3G08530","Set1_Leaf_I"
"82","1;2","B9","mTurquoise",213,"AT3G08530","Set1_Leaf_I"
"83","1;2","B9","mScarlet",286,"AT3G08530","Set1_Leaf_I"
"84","1;2","B9","YB_Ratio",10.7605633802817,"AT3G08530","Set1_Leaf_I"
"85","1;2","B10","yfp",1939,"AT3G08530","Set1_Leaf_I"
"86","1;2","B10","mTurquoise",120,"AT3G08530","Set1_Leaf_I"
"87","1;2","B10","mScarlet",293,"AT3G08530","Set1_Leaf_I"
"88","1;2","B10","YB_Ratio",16.1583333333333,"AT3G08530","Set1_Leaf_I"
"89","1;2","B11","yfp",1525,"Null_YFP","Set1_Leaf_I"
"90","1;2","B11","mTurquoise",125,"Null_YFP","Set1_Leaf_I"
"91","1;2","B11","mScarlet",319,"Null_YFP","Set1_Leaf_I"
"92","1;2","B11","YB_Ratio",12.2,"Null_YFP","Set1_Leaf_I"
"93","1;2","B12","yfp",1625,"Null_YFP","Set1_Leaf_I"
"94","1;2","B12","mTurquoise",183,"Null_YFP","Set1_Leaf_I"
"95","1;2","B12","mScarlet",324,"Null_YFP","Set1_Leaf_I"
"96","1;2","B12","YB_Ratio",8.87978142076503,"Null_YFP","Set1_Leaf_I"
"97","1;2","C1","yfp",2199,"AT2G29080","Set1_Leaf_C"
"98","1;2","C1","mTurquoise",67,"AT2G29080","Set1_Leaf_C"
"99","1;2","C1","mScarlet",391,"AT2G29080","Set1_Leaf_C"
"100","1;2","C1","YB_Ratio",32.8208955223881,"AT2G29080","Set1_Leaf_C"
"101","1;2","C2","yfp",2102,"AT2G29080","Set1_Leaf_C"
"102","1;2","C2","mTurquoise",57,"AT2G29080","Set1_Leaf_C"
"103","1;2","C2","mScarlet",373,"AT2G29080","Set1_Leaf_C"
"104","1;2","C2","YB_Ratio",36.8771929824561,"AT2G29080","Set1_Leaf_C"
"105","1;2","C3","yfp",4084,"AT1G64550","Set1_Leaf_C"
"106","1;2","C3","mTurquoise",67,"AT1G64550","Set1_Leaf_C"
"107","1;2","C3","mScarlet",409,"AT1G64550","Set1_Leaf_C"
"108","1;2","C3","YB_Ratio",60.955223880597,"AT1G64550","Set1_Leaf_C"
"109","1;2","C4","yfp",3491,"AT1G64550","Set1_Leaf_C"
"110","1;2","C4","mTurquoise",75,"AT1G64550","Set1_Leaf_C"
"111","1;2","C4","mScarlet",327,"AT1G64550","Set1_Leaf_C"
"112","1;2","C4","YB_Ratio",46.5466666666667,"AT1G64550","Set1_Leaf_C"
"113","1;2","C5","yfp",2791,"AT5G06140","Set1_Leaf_C"
"114","1;2","C5","mTurquoise",124,"AT5G06140","Set1_Leaf_C"
"115","1;2","C5","mScarlet",653,"AT5G06140","Set1_Leaf_C"
"116","1;2","C5","YB_Ratio",22.508064516129,"AT5G06140","Set1_Leaf_C"
"117","1;2","C6","yfp",2540,"AT5G06140","Set1_Leaf_C"
"118","1;2","C6","mTurquoise",93,"AT5G06140","Set1_Leaf_C"
"119","1;2","C6","mScarlet",557,"AT5G06140","Set1_Leaf_C"
"120","1;2","C6","YB_Ratio",27.3118279569892,"AT5G06140","Set1_Leaf_C"
"121","1;2","C7","yfp",2115,"Null_YFP","Set1_Leaf_C"
"122","1;2","C7","mTurquoise",170,"Null_YFP","Set1_Leaf_C"
"123","1;2","C7","mScarlet",384,"Null_YFP","Set1_Leaf_C"
"124","1;2","C7","YB_Ratio",12.4411764705882,"Null_YFP","Set1_Leaf_C"
"125","1;2","C8","yfp",2053,"Null_YFP","Set1_Leaf_C"
"126","1;2","C8","mTurquoise",149,"Null_YFP","Set1_Leaf_C"
"127","1;2","C8","mScarlet",486,"Null_YFP","Set1_Leaf_C"
"128","1;2","C8","YB_Ratio",13.7785234899329,"Null_YFP","Set1_Leaf_C"
"129","1;2","D1","yfp",2642,"AT5G37830","Set1_Leaf_D"
"130","1;2","D1","mTurquoise",69,"AT5G37830","Set1_Leaf_D"
"131","1;2","D1","mScarlet",365,"AT5G37830","Set1_Leaf_D"
"132","1;2","D1","YB_Ratio",38.2898550724638,"AT5G37830","Set1_Leaf_D"
"133","1;2","D2","yfp",2418,"AT5G37830","Set1_Leaf_D"
"134","1;2","D2","mTurquoise",92,"AT5G37830","Set1_Leaf_D"
"135","1;2","D2","mScarlet",396,"AT5G37830","Set1_Leaf_D"
"136","1;2","D2","YB_Ratio",26.2826086956522,"AT5G37830","Set1_Leaf_D"
"137","1;2","D3","yfp",2084,"AT3G07160","Set1_Leaf_D"
"138","1;2","D3","mTurquoise",54,"AT3G07160","Set1_Leaf_D"
"139","1;2","D3","mScarlet",663,"AT3G07160","Set1_Leaf_D"
"140","1;2","D3","YB_Ratio",38.5925925925926,"AT3G07160","Set1_Leaf_D"
"141","1;2","D4","yfp",1816,"AT3G07160","Set1_Leaf_D"
"142","1;2","D4","mTurquoise",67,"AT3G07160","Set1_Leaf_D"
"143","1;2","D4","mScarlet",361,"AT3G07160","Set1_Leaf_D"
"144","1;2","D4","YB_Ratio",27.1044776119403,"AT3G07160","Set1_Leaf_D"
"145","1;2","D5","yfp",1816,"AT1G54080","Set1_Leaf_D"
"146","1;2","D5","mTurquoise",41,"AT1G54080","Set1_Leaf_D"
"147","1;2","D5","mScarlet",324,"AT1G54080","Set1_Leaf_D"
"148","1;2","D5","YB_Ratio",44.2926829268293,"AT1G54080","Set1_Leaf_D"
"149","1;2","D6","yfp",2157,"AT1G54080","Set1_Leaf_D"
"150","1;2","D6","mTurquoise",52,"AT1G54080","Set1_Leaf_D"
"151","1;2","D6","mScarlet",427,"AT1G54080","Set1_Leaf_D"
"152","1;2","D6","YB_Ratio",41.4807692307692,"AT1G54080","Set1_Leaf_D"
"153","1;2","D7","yfp",1961,"Null_YFP","Set1_Leaf_D"
"154","1;2","D7","mTurquoise",284,"Null_YFP","Set1_Leaf_D"
"155","1;2","D7","mScarlet",424,"Null_YFP","Set1_Leaf_D"
"156","1;2","D7","YB_Ratio",6.90492957746479,"Null_YFP","Set1_Leaf_D"
"157","1;2","D8","yfp",1550,"Null_YFP","Set1_Leaf_D"
"158","1;2","D8","mTurquoise",227,"Null_YFP","Set1_Leaf_D"
"159","1;2","D8","mScarlet",286,"Null_YFP","Set1_Leaf_D"
"160","1;2","D8","YB_Ratio",6.82819383259912,"Null_YFP","Set1_Leaf_D"
