"","Site","Well","Signal","Value","Experiment","Leaf"
"48","1;2","A12","YB_Ratio",30.8666666666667,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"49","1;2","B1","yfp",1749,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"50","1;2","B1","mTurquoise",47,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"51","1;2","B1","mScarlet",274,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"52","1;2","B1","YB_Ratio",37.2127659574468,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"53","1;2","B2","yfp",1788,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"54","1;2","B2","mTurquoise",29,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"55","1;2","B2","mScarlet",250,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"56","1;2","B2","YB_Ratio",61.6551724137931,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"57","1;2","B3","yfp",2310,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"58","1;2","B3","mTurquoise",186,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"59","1;2","B3","mScarlet",248,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"60","1;2","B3","YB_Ratio",12.4193548387097,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"61","1;2","B4","yfp",2014,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"62","1;2","B4","mTurquoise",251,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"63","1;2","B4","mScarlet",293,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"64","1;2","B4","YB_Ratio",8.02390438247012,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"65","1;2","B5","yfp",1930,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"66","1;2","B5","mTurquoise",56,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"67","1;2","B5","mScarlet",313,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"68","1;2","B5","YB_Ratio",34.4642857142857,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"69","1;2","B6","yfp",1815,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"70","1;2","B6","mTurquoise",73,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"71","1;2","B6","mScarlet",363,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"72","1;2","B6","YB_Ratio",24.8630136986301,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_C"
"73","1;2","B7","yfp",1683,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"74","1;2","B7","mTurquoise",44,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"75","1;2","B7","mScarlet",277,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"76","1;2","B7","YB_Ratio",38.25,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"77","1;2","B8","yfp",1662,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"78","1;2","B8","mTurquoise",45,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"79","1;2","B8","mScarlet",296,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"80","1;2","B8","YB_Ratio",36.9333333333333,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_D"
"81","1;2","B9","yfp",1546,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"82","1;2","B9","mTurquoise",38,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"83","1;2","B9","mScarlet",282,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"84","1;2","B9","YB_Ratio",40.6842105263158,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"85","1;2","B10","yfp",1387,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"86","1;2","B10","mTurquoise",40,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"87","1;2","B10","mScarlet",314,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"88","1;2","B10","YB_Ratio",34.675,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_E"
"89","1;2","B11","yfp",1620,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"90","1;2","B11","mTurquoise",46,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"91","1;2","B11","mScarlet",277,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"92","1;2","B11","YB_Ratio",35.2173913043478,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"93","1;2","B12","yfp",1848,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"94","1;2","B12","mTurquoise",51,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"95","1;2","B12","mScarlet",269,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"96","1;2","B12","YB_Ratio",36.2352941176471,"AT3G08530(r7,r5)+gRNA_r7+gRNA_E","Set6_Leaf_F"
"97","1;2","C1","yfp",1681,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"98","1;2","C1","mTurquoise",56,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"99","1;2","C1","mScarlet",247,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"100","1;2","C1","YB_Ratio",30.0178571428571,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"101","1;2","C2","yfp",1853,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"102","1;2","C2","mTurquoise",41,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"103","1;2","C2","mScarlet",301,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"104","1;2","C2","YB_Ratio",45.1951219512195,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_A"
"105","1;2","C3","yfp",1904,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"106","1;2","C3","mTurquoise",142,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"107","1;2","C3","mScarlet",263,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"108","1;2","C3","YB_Ratio",13.4084507042254,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"109","1;2","C4","yfp",2210,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"110","1;2","C4","mTurquoise",191,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"111","1;2","C4","mScarlet",247,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"112","1;2","C4","YB_Ratio",11.5706806282723,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_B"
"113","1;2","C5","yfp",2511,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"114","1;2","C5","mTurquoise",80,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"115","1;2","C5","mScarlet",286,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"116","1;2","C5","YB_Ratio",31.3875,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"117","1;2","C6","yfp",1810,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"118","1;2","C6","mTurquoise",57,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"119","1;2","C6","mScarlet",342,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"120","1;2","C6","YB_Ratio",31.7543859649123,"AT3G18480(r3,r6)+gRNA_r6+gRNA_r5","Set6_Leaf_C"
"121","1;2","C7","yfp",1175,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"122","1;2","C7","mTurquoise",34,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"123","1;2","C7","mScarlet",245,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"124","1;2","C7","YB_Ratio",34.5588235294118,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"125","1;2","C8","yfp",1662,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"126","1;2","C8","mTurquoise",58,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"127","1;2","C8","mScarlet",297,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"128","1;2","C8","YB_Ratio",28.6551724137931,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_D"
"129","1;2","C9","yfp",1490,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
"130","1;2","C9","mTurquoise",39,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
"131","1;2","C9","mScarlet",338,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
"132","1;2","C9","YB_Ratio",38.2051282051282,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
"133","1;2","C10","yfp",1571,"AT3G08530(r7,r5)+gRNA_r5+gRNA_E","Set6_Leaf_E"
