Run,Sample_Description,Sample_ID,Tissue_Data,Stress_Data
SRR3724741,Leaf Cold 24 hours,Cold24,0,1
SRR3724768,Leaf Heat 1 hour,Heat1,0,1
SRR3724774,Leaf Heat 1 hour,Heat1,0,1
SRR3724778,Leaf Heat 3 hours,Heat3,0,1
SRR3724782,Leaf Heat 3 hours,Heat3,0,1
SRR3724785,Leaf Heat 6 hours,Heat6,0,1
SRR3724786,Leaf Heat 6 hours,Heat6,0,1
SRR3724787,Leaf Heat 12 hours,Heat12,0,1
SRR3724798,Leaf Heat 12 hours,Heat12,0,1
SRR3724806,Leaf Heat 24 hours,Heat24,0,1
SRR3724814,Leaf Heat 24 hours,Heat24,0,1
SRR3725446,Leaf Wounding 1 hour,Wounding1,0,1
SRR3725458,Leaf Wounding 1 hour,Wounding1,0,1
SRR3725471,Leaf Wounding 3 hours,Wounding3,0,1
SRR3725482,Leaf Wounding 3 hours,Wounding3,0,1
SRR3725493,Leaf Wounding 6 hours,Wounding6,0,1
SRR3725503,Leaf Wounding 6 hours,Wounding6,0,1
SRR3725516,Leaf Wounding 12 hours,Wounding12,0,1
SRR3725527,Leaf Wounding 12 hours,Wounding12,0,1
SRR3725538,Leaf Wounding 24 hours,Wounding24,0,1
SRR3725550,Leaf Wounding 24 hours,Wounding24,0,1
SRR3725560,Leaf Wounding 48 hours,Wounding48,0,1
SRR3725561,Leaf Wounding 48 hours,Wounding48,0,1
SRR847501,Pollen,Pollen,1,0
SRR847502,Pollen,Pollen,1,0
